vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE
WV2ZZZ7HZRH052187,WI RS 5916,Aix-Marseille,49127,24/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12470/edit
ZFA250007SMB11614,WI RS 8046,Aix-Marseille,19552,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15077/edit
ZFA25000002X91641,WI RS 5640,Augsburg,59647,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12810/edit
WF0LXXTA7LSM02268,WI RC 2042,Augsburg,13561,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15329/edit
WV1ZZZSY2P9009461,WI RS 2609,Barcelona,87227,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7549/edit
ZFA25000002X76845,WI RS 5957,Barcelona,44712,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13025/edit
ZFA250008SMB11346,WI RS 8193,Berlin,19143,28/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/16108/edit
WV2ZZZ7HZRH039456,WI RS 5224,Berlin-Schönefeld,34081,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12337/edit
ZFA250007SMB10818,WI RS 8050,Bochum,22727,24/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15062/edit
WF0EXXTTREPP46482,WI RS 6941,Bologna,57993,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13138/edit
ZFA25000002Z20072,WI RS 7741,Cologne-Bonn,46400,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/11551/edit
ZFA25000002Z40737,WI RS 7640,Cologne-Bonn,42054,24/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13055/edit
ZFA25000002Y97099,241-D-47538,Dublin,69303,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10954/edit
WV2ZZZ7HZRH053690,241-D-35391,Dublin,63610,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/11107/edit
ZFA250007SMA98301,251-D-46528,Dublin,20312,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15022/edit
ZFA250008SMA99487,251-D-45740,Dublin,18778,28/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15152/edit
ZFA250009SMB00078,251-D-46411,Dublin,22496,28/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15155/edit
WMA36VUY0R9017465,FJ24HJU,Edinburgh,53768,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10924/edit
WMA36VUY3R9017332,FJ24HJG,Edinburgh,61017,28/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10925/edit
ZFA25000002V83106,FJ23GXZ,Edinburgh,90846,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6747/edit
ZFA25000002V83868,FJ23BWC,Edinburgh,42443,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6737/edit
ZFA25000002Y95795,FJ24HJE,Edinburgh,63218,28/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10951/edit
ZFA25000002Y99518,FJ24GBF,Edinburgh,56906,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10944/edit
ZFA25000002Y71790,FH24GZZ,Edinburgh,49761,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10907/edit
WV2ZZZ7HZNH080369,GL22ODA,Edinburgh,92982,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7610/edit
WV2ZZZ7HZPH029024,GK23NWT,Edinburgh,95583,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8496/edit
WV2ZZZ7HZPH029985,GK23NYB,Edinburgh,84116,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8485/edit
WV2ZZZ7HZRH067697,GF24FZZ,Edinburgh,68568,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/11066/edit
WV2ZZZ7HZPH029780,GK23NWJ,Edinburgh,89803,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8498/edit
ZFA250007SMA96371,FE25UCR,Edinburgh,182243,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15024/edit
ZFA25000002Y24140,BN-55-XT,Faro,43904,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/11690/edit
ZFA25000002Y97542,BN-19-GO,Faro,27453,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/11705/edit
WV2ZZZ7HZPH063894,WI RS 4193,Frankfurt,69090,4/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8076/edit
WV2ZZZ7HZPH089149,WI RS 4712,Frankfurt,64405,4/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8313/edit
WV1ZZZSY1P9048378,WI RS 4223,Frankfurt,93430,10/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8869/edit
WV3ZZZSZ7P9033433,WI RS 3895,Frankfurt,46852,20/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7749/edit
WV1ZZZSY7P9009021,WI RS 2574,Freiburg-Basel (Germany),71562,20/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7565/edit
WV2ZZZ7HZNH034838,WI RS 1363,Hamburg,97893,4/9/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/5960/edit
WV2ZZZ7HZPH070960,WI RS 4479,Hamburg,89934,20/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8116/edit
ZFA250008SMB06311,WI RS 8301,Hannover,17299,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15833/edit
WV2ZZZ7HZPH086212,WI RS 4650,Innsbruck,62638,15/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8198/edit
WV1ZZZSY7R9056861,WI RS 7011,Innsbruck,42722,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12033/edit
ZFA25000002Z04380,WI RS 7574,Innsbruck,54050,3/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13490/edit
WV2ZZZ7HZNH052871,WI RS 1425,Kassel,99974,4/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6503/edit
3C6MRVUGXNE106165,CSN0736,Las Vegas,1767260,14/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/4155/edit
3C6MRVJG9SE517976,CRS2139,Las Vegas,45447,20/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13895/edit
W1W4EBVY0NP493467,9KWM718,Las Vegas,99716,10/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10436/edit
1FDWE3FN7SDD32413,CRS1875,Las Vegas,43648,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13797/edit
WV2ZZZ7HZPH078654,WI RS 4919,Lindau-Wangen,72461,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10392/edit
WV1ZZZSY1N9051505,WI RS 2343,Lindau-Wangen,107652,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7180/edit
ZFA250006SMB00345,WI RS 8263,Lindau-Wangen,12324,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15160/edit
WMA36VUY2R9017287,FJ24HJK,London,48174,21/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10927/edit
3C6MRVUG8NE106536,CSN0732,Los Angeles,100281,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/4115/edit
3C6MRVUG6NE106079,CSN0722,Los Angeles,125327,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/4132/edit
3C6MRVJG6PE508143,CSG4930,Los Angeles,144268,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10328/edit
3C6MRVJGXPE607127,CSN0318,Los Angeles,87026,18/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13211/edit
1FDWE3FN3SDD28570,CRS1444,Los Angeles,40694,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13834/edit
